Typhoon Name,Year,Region,Province,City/Municipality,Families,Person,Brgy,Dead,Injured/Ill,Missing,Totally,Partially,Total,Quantity,Cost,Nearest_Station,Station_Province,Distance_km,PAR_START,PAR_END,Duration_in_PAR_Hours,Max_Sustained_Wind_kph,Typhoon_Type,Max_24hr_Rainfall_mm,Total_Storm_Rainfall_mm,Min_Pressure_hPa,Weather_Station_Mapped,Weather_Records_Found,Weather_Days_Covered,cluster,level
BETTY,2023,2,BATANES,BASCO,3608,11120,6,0,0,0,0,0,0,3608,2646179.36,BASCO,BATANES,2.497503561,5/27/2023,6/1/2023,133.0,195,STY,25.6,39.0,977.1,1,6,6,0,3
BETTY,2023,2,BATANES,ITBAYAT,968,3028,5,0,0,0,0,0,0,966,494592.0,ITBAYAT,BATANES,3.204942957,5/27/2023,6/1/2023,133.0,195,STY,20.3,32.71,1000.5,1,6,6,0,3
BETTY,2023,2,BATANES,IVANA,444,1532,4,0,0,0,0,0,0,444,227328.0,BASCO,BATANES,9.470553732,5/27/2023,6/1/2023,133.0,195,STY,25.6,39.0,977.1,1,6,6,0,3
BETTY,2023,2,BATANES,MAHATAO,575,1792,4,0,0,0,0,0,0,575,291082.96,BASCO,BATANES,4.890815627,5/27/2023,6/1/2023,133.0,195,STY,25.6,39.0,977.1,1,6,6,0,3
BETTY,2023,2,BATANES,SABTANG,575,1955,6,0,0,0,0,0,0,575,296521.75,BASCO,BATANES,19.89123103,5/27/2023,6/1/2023,133.0,195,STY,25.6,39.0,977.1,1,6,6,0,3
BETTY,2023,2,BATANES,UYUGAN,433,1464,4,0,0,0,0,0,0,433,294400.0,BASCO,BATANES,8.644080692,5/27/2023,6/1/2023,133.0,195,STY,25.6,39.0,977.1,1,6,6,0,3
HENRY,2022,2,BATANES,BASCO,2,10,1,0,0,0,0,0,0,0,0.0,BASCO,BATANES,2.497503561,8/31/2022,9/4/2022,80.2,195,STY,85.4,139.6,994.2,1,5,5,0,3
JENNY,2023,2,BATANES,BASCO,1,1,1,0,0,0,0,0,0,0,783.93,BASCO,BATANES,2.497503561,9/29/2023,10/6/2023,146.7,175,TY,134.0,224.2,998.9,1,8,8,0,3
JENNY,2023,2,BATANES,ITBAYAT,6,20,2,0,0,0,0,0,0,6,3072.0,ITBAYAT,BATANES,3.204942957,9/29/2023,10/6/2023,146.7,175,TY,273.0,355.8,1000.6,1,8,8,0,3
JENNY,2023,2,BATANES,SABTANG,0,139,4,0,0,0,0,0,0,66,51739.38,BASCO,BATANES,19.89123103,9/29/2023,10/6/2023,146.7,175,TY,134.0,224.2,998.9,1,8,8,0,3
KIKO,2021,2,BATANES,BASCO,3043,10656,6,0,0,0,171,1247,1418,5166,13757200.0,BASCO,BATANES,2.497503561,9/7/2021,9/12/2021,116.0,215,STY,420.7,604.9,927.9,1,6,6,1,1
KIKO,2021,2,BATANES,ITBAYAT,977,2985,5,0,0,0,11,174,185,977,488500.0,ITBAYAT,BATANES,3.204942957,9/7/2021,9/12/2021,116.0,215,STY,510.0,688.2,927.9,1,6,6,0,3
KIKO,2021,2,BATANES,IVANA,441,1609,4,0,3,0,15,190,205,575,890500.0,BASCO,BATANES,9.470553732,9/7/2021,9/12/2021,116.0,215,STY,420.7,604.9,927.9,1,6,6,0,3
KIKO,2021,2,BATANES,MAHATAO,517,1792,4,0,2,0,22,87,109,823,1788500.0,BASCO,BATANES,4.890815627,9/7/2021,9/12/2021,116.0,215,STY,420.7,604.9,927.9,1,6,6,0,3
KIKO,2021,2,BATANES,SABTANG,575,1968,6,0,5,0,25,211,236,575,287500.0,BASCO,BATANES,19.89123103,9/7/2021,9/12/2021,116.0,215,STY,420.7,604.9,927.9,1,6,6,0,3
KIKO,2021,2,BATANES,UYUGAN,450,1558,4,0,17,0,21,151,172,873,2340000.0,BASCO,BATANES,8.644080692,9/7/2021,9/12/2021,116.0,215,STY,420.7,604.9,927.9,1,6,6,0,3
MARING,2021,2,BATANES,BASCO,1,2,1,0,0,0,0,0,0,0,0.0,BASCO,BATANES,2.497503561,10/7/2021,10/12/2021,118.0,100,STS,81.4,152.1,986.0,1,6,6,0,3
BETTY,2023,2,CAGAYAN,CALAYAN,380,1195,7,0,0,0,0,0,0,120,491042.3,CALAYAN,CAGAYAN,3.925675123,5/27/2023,6/1/2023,133.0,195,STY,51.7,110.31,996.5,1,6,6,0,3
BETTY,2023,2,CAGAYAN,GONZAGA,111,410,5,0,0,0,0,0,0,251,555842.3,APARRI,CAGAYAN,52.36313462,5/27/2023,6/1/2023,133.0,195,STY,14.4,35.1,996.6,1,6,6,0,3
BETTY,2023,2,CAGAYAN,RIZAL,0,0,0,0,0,0,0,0,0,110,482212.5,TUGUEGARAO,CAGAYAN,43.19189571,5/27/2023,6/1/2023,133.0,195,STY,3.4,3.63,997.1,1,6,6,0,3
BETTY,2023,2,CAGAYAN,SANTA ANA,162,503,11,0,0,0,0,0,0,239,576722.3,APARRI,CAGAYAN,65.83345146,5/27/2023,6/1/2023,133.0,195,STY,14.4,35.1,996.6,1,6,6,0,3
BETTY,2023,2,CAGAYAN,SANTA TERESITA,9,37,1,0,0,0,0,0,0,18,17167.5,APARRI,CAGAYAN,31.27081829,5/27/2023,6/1/2023,133.0,195,STY,14.4,35.1,996.6,1,6,6,0,3
FLORITA,2022,2,CAGAYAN,ABULUG,16,65,2,0,0,0,0,0,0,0,0.0,APARRI,CAGAYAN,22.68592548,8/21/2022,8/24/2022,74.0,110,STS,50.4,99.31,991.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,ALLACAPAN,7,20,3,0,1,0,0,0,0,1,5000.0,APARRI,CAGAYAN,17.43143579,8/21/2022,8/24/2022,74.0,110,STS,50.4,99.31,991.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,AMULUNG,7,32,2,0,0,0,0,0,0,0,0.0,TUGUEGARAO,CAGAYAN,23.45790751,8/21/2022,8/24/2022,74.0,110,STS,146.0,234.5,989.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,APARRI,102,355,10,0,0,0,0,0,0,0,0.0,APARRI,CAGAYAN,0.131954557,8/21/2022,8/24/2022,74.0,110,STS,50.4,99.31,991.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,BAGGAO,1655,4982,40,0,0,0,0,0,0,2600,1736375.0,TUGUEGARAO,CAGAYAN,35.84262703,8/21/2022,8/24/2022,74.0,110,STS,146.0,234.5,989.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,BALLESTEROS,0,0,0,0,0,0,0,62,62,0,0.0,APARRI,CAGAYAN,14.14369328,8/21/2022,8/24/2022,74.0,110,STS,50.4,99.31,991.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,CLAVERIA,135,356,7,0,0,0,0,0,0,0,0.0,APARRI,CAGAYAN,61.74324569,8/21/2022,8/24/2022,74.0,110,STS,50.4,99.31,991.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,ENRILE,1,6,1,0,1,0,0,2,2,0,0.0,TUGUEGARAO,CAGAYAN,6.91746225,8/21/2022,8/24/2022,74.0,110,STS,146.0,234.5,989.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,GATTARAN,391,1434,22,0,0,0,0,0,0,1000,558000.0,APARRI,CAGAYAN,40.29307183,8/21/2022,8/24/2022,74.0,110,STS,50.4,99.31,991.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,GONZAGA,56,217,4,0,0,0,0,0,0,0,0.0,APARRI,CAGAYAN,52.36313462,8/21/2022,8/24/2022,74.0,110,STS,50.4,99.31,991.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,IGUIG,386,1712,10,0,0,0,2,14,16,500,273400.0,TUGUEGARAO,CAGAYAN,15.80683663,8/21/2022,8/24/2022,74.0,110,STS,146.0,234.5,989.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,LAL LO,110,315,11,0,0,0,0,0,0,500,256000.0,APARRI,CAGAYAN,31.89656343,8/21/2022,8/24/2022,74.0,110,STS,50.4,99.31,991.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,LASAM,17,48,2,0,0,0,0,0,0,0,0.0,APARRI,CAGAYAN,35.12842454,8/21/2022,8/24/2022,74.0,110,STS,50.4,99.31,991.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,PAMPLONA,51,109,6,0,0,0,0,2,2,0,0.0,APARRI,CAGAYAN,34.70954201,8/21/2022,8/24/2022,74.0,110,STS,50.4,99.31,991.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,PENABLANCA,526,1732,13,0,0,0,0,0,0,0,0.0,TUGUEGARAO,CAGAYAN,27.4325795,8/21/2022,8/24/2022,74.0,110,STS,146.0,234.5,989.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,PIAT,9,28,2,0,0,0,0,0,0,0,0.0,TUGUEGARAO,CAGAYAN,27.0942548,8/21/2022,8/24/2022,74.0,110,STS,146.0,234.5,989.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,RIZAL,29,84,6,0,0,0,0,2,2,0,0.0,TUGUEGARAO,CAGAYAN,43.19189571,8/21/2022,8/24/2022,74.0,110,STS,146.0,234.5,989.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,SANTA ANA,43,171,6,0,0,0,0,0,0,0,0.0,APARRI,CAGAYAN,65.83345146,8/21/2022,8/24/2022,74.0,110,STS,50.4,99.31,991.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,SANTA PRAXEDES,40,122,4,0,0,0,0,0,0,0,0.0,APARRI,CAGAYAN,70.47562874,8/21/2022,8/24/2022,74.0,110,STS,50.4,99.31,991.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,SANTO NINO,23,74,1,1,0,0,0,0,0,1,10000.0,TUGUEGARAO,CAGAYAN,41.52522939,8/21/2022,8/24/2022,74.0,110,STS,146.0,234.5,989.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,SOLANA,30,106,6,0,0,0,0,0,0,0,0.0,TUGUEGARAO,CAGAYAN,10.80183139,8/21/2022,8/24/2022,74.0,110,STS,146.0,234.5,989.1,1,4,4,0,3
FLORITA,2022,2,CAGAYAN,TUGUEGARAO CITY,622,2250,17,0,1,0,0,6,6,500,256000.0,TUGUEGARAO,CAGAYAN,3.617549461,8/21/2022,8/24/2022,74.0,110,STS,146.0,234.5,989.1,1,4,4,0,3
KARDING,2022,2,CAGAYAN,APARRI,278,1084,2,0,0,0,0,0,0,24,12048.0,APARRI,CAGAYAN,0.131954557,9/22/2022,9/26/2022,114.0,195,STY,25.0,57.0,1004.1,1,5,5,0,3
KIKO,2021,2,CAGAYAN,ABULUG,1,3,1,0,0,0,0,0,0,0,0.0,APARRI,CAGAYAN,22.68592548,9/7/2021,9/12/2021,116.0,215,STY,40.5,55.1,1000.9,1,6,6,0,3
KIKO,2021,2,CAGAYAN,ALCALA,9,36,2,0,0,0,0,0,0,0,0.0,TUGUEGARAO,CAGAYAN,33.47966585,9/7/2021,9/12/2021,116.0,215,STY,57.8,64.8,1002.1,1,6,6,0,3
