region_,person_sum,dead_sum,injured_ill_sum,missing_sum,totally_sum,partially_sum,cost_sum,has_food_sum,has_cash_sum,has_hygiene_health_sum,has_sleeping_essentials_sum,has_shelter_support_sum,num_typhoons,recurrence_rate,cost_per_family
CAR,-0.05433698954493459,-0.28932845644864547,1.4685332662702273,-0.36658235502686776,-0.3151979630290345,-0.3418018971702844,-0.31883593055955156,1.1019870484839338,2.480885740631533,0.6692959865147695,0.10010846022313726,0.5473830869041049,1.5435062690746175,2.225922524431239,-0.14283429309634266
13,-0.6811151751591317,-0.3833722001699299,-0.3661158758277066,-0.36658235502686776,-0.3182569252370802,-0.3543668618063476,-0.6596694298151471,-0.7003873908695425,-0.43308844351827186,-0.5567041383160233,-0.5036225614302442,-0.41483292236230374,-1.5957078646467031,-0.9657615470499652,-0.028900830943230836
CARAGA,-0.5051799071458533,-0.3833722001699299,-0.3661158758277066,-0.36658235502686776,-0.15579204352087578,-0.22096739598764514,-0.42878454614361616,-0.6708402689129281,-0.43308844351827186,-0.5567041383160233,-0.5036225614302442,-0.41483292236230374,-1.0143719139575695,-1.4697116635996292,-0.0853010156113829
CARAGA,-0.473625945202348,-0.3833722001699299,-0.3661158758277066,-0.36658235502686776,-0.309023391164646,-0.34438042165909105,-0.5846048594879912,-0.6117460249996994,-0.43308844351827186,-0.5567041383160233,-0.5036225614302442,-0.41483292236230374,-1.246906294233223,-1.595699192737045,-0.14945093567043796
6,-0.08085621691972421,-0.00719722528479221,-0.3342089342260034,0.01970872876488534,-0.3030187616451489,-0.2186880373235067,0.11169959583541803,0.8065158289177901,1.784065827030493,-0.4034541227121742,-0.050824295190208105,-0.41483292236230374,0.7296359381098306,1.0500389191486905,-0.09717928074122416
5,1.5862036976062708,-0.10124096900607664,-0.2544415802217454,-0.36658235502686776,0.7735093457937455,1.1486279953348917,1.1258501951200242,0.8360629508744044,-0.30639391377262815,0.20954593970322224,0.401973971049828,1.5095990961705135,1.0784375085233107,0.8540583182682656,-0.12477596279804873
6,0.17249139995833535,0.36897774960034546,-0.3661158758277066,1.9511641477236508,-0.11132379660761899,0.03419256047100282,0.8535196229894051,2.2247776828352794,4.254609157070545,0.9757960177224677,2.364099791423318,0.06627508227090059,1.1947046986611374,0.9940444617542828,-0.06953351830855704
CAR,-0.512352420983806,-0.3833722001699299,-0.31825546342515176,-0.36658235502686776,-0.3149147257875488,-0.2840771390009783,-0.4890681779133652,0.6587802191347182,1.2772877080479181,0.9757960177224677,0.10010846022313726,-0.17427892004570156,0.9621703183854841,0.7140721747822476,-0.11406151670056221
3,-0.3515950080825933,-0.24230658458800328,0.09653477739698976,-0.36658235502686776,-0.2685204656321892,-0.26112684645143436,-0.05292779052911775,-0.1389920736938696,-0.36974117864545,-0.2502041071083251,-0.3526898060168988,0.30682908458750274,1.4272390789367908,1.2740167487263188,-0.07335332057198787
BARMM,-0.6764723038398566,-0.3833722001699299,-0.3661158758277066,-0.36658235502686776,-0.31655750178816594,-0.3523581769835756,-0.6629434105152955,-0.7003873908695425,-0.43308844351827186,-0.5567041383160233,-0.5036225614302442,-0.41483292236230374,-0.6655703435440895,-0.545803116591912,-0.17295753431916286
3,1.7255653770880297,-0.3833722001699299,-0.2863485218234486,-0.36658235502686776,-0.3150280206841431,-0.35270008078319637,-0.27300540749444857,-0.40491617130339885,-0.2430466488998063,-0.4034541227121742,-0.5036225614302442,-0.41483292236230374,1.0784375085233107,0.8540583182682656,-0.1629410902199697
2,-0.5789134627098623,-0.3833722001699299,0.06462783579528655,-0.36658235502686776,-0.3034152937832289,-0.31729879153079615,-0.3622354380464751,-0.10944495173725524,-0.17969938402698443,-0.5567041383160233,-0.3526898060168988,-0.41483292236230374,0.613368747972004,0.8820555469654691,-0.032431206369272984
4A,0.018676104189380247,-0.05421909714543442,-0.2863485218234486,0.01970872876488534,0.05907172787018541,0.4568853787438264,0.4315291948644854,-0.34582192739017015,-0.17969938402698443,-0.5567041383160233,-0.5036225614302442,-0.41483292236230374,0.613368747972004,0.29411374432419435,-0.08088410015195209
CAR,-0.38460689016377614,0.08684651843649221,0.6070458430242409,1.1785819801401445,-0.3097031605442117,-0.33899543681506394,-0.2555541059166832,0.6587802191347182,1.5940240324120274,2.35504615815711,1.1566377481165548,-0.41483292236230374,1.4272390789367908,1.2740167487263188,-0.09082151057569154
8,-0.6040805258118837,-0.3833722001699299,-0.20658116781919061,-0.36658235502686776,-0.31378177682160596,-0.3289805046845057,-0.6232889699164889,-0.4640104152166276,-0.43308844351827186,-0.5567041383160233,-0.5036225614302442,-0.41483292236230374,-0.31676877313060947,-0.4618114305003013,-0.14244817518961178
7,0.6697838042254691,3.8485962672878693,1.1335103794523438,5.427783901849428,4.985700306272662,2.5873734301307287,1.1831987409862197,0.8360629508744044,-0.36974117864545,-0.5567041383160233,-0.5036225614302442,-0.41483292236230374,-0.6655703435440895,-0.9657615470499652,-0.10216008510845187
10,-0.6473563922820272,-0.24230658458800328,-0.270395051022597,-0.36658235502686776,-0.3139517191664974,-0.35274281875814895,-0.6565472563135992,-0.6708402689129281,-0.36974117864545,0.05629592409937313,0.10010846022313726,0.06627508227090059,-0.6655703435440895,-0.9657615470499652,-0.16266546898866394
3,5.283526936708397,-0.00719722528479221,-0.09490687221322942,-0.36658235502686776,-0.31576443751200595,-0.3496799305532129,1.333233004360468,0.3337618776119602,-0.30639391377262815,-0.2502041071083251,-0.5036225614302442,-0.41483292236230374,1.776040649350271,1.693975179184372,-0.15459510695655385
