region_,person_sum,dead_sum,injured_ill_sum,missing_sum,totally_sum,partially_sum,cost_sum,has_food_sum,has_cash_sum,has_hygiene_health_sum,has_sleeping_essentials_sum,has_shelter_support_sum,num_typhoons,recurrence_rate,cost_per_family
BARMM,1388101.0,65.0,164.0,13.0,1064.0,1187.0,0.0,19,0,7,5,7,11,2.2,0.0
BARMM,112195.0,0.0,0.0,0.0,0.0,5.0,0.0,0,0,0,0,0,2,2.0,0.0
BARMM,388048.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,2.0,0.0
4B,261695.0,7.0,14.0,1.0,948.0,17987.0,21625183.4,17,0,8,8,2,16,2.6666666666666665,306.54452335388754
5,347778.0,3.0,0.0,0.0,778.0,7330.0,12508274.67,9,5,1,1,0,21,3.5,137.67748282921676
10,7031.0,1.0,1.0,0.0,9.0,47.0,339030.0,1,0,1,1,0,9,2.25,171.40040444893833
10,151704.0,5.0,25.0,0.0,522.0,4568.0,8142863.76,7,0,4,1,5,17,3.4,189.42619303510364
11,1090.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,2.0,0.0
9,4791.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1.0,0.0
CAR,24757.0,2.0,8.0,0.0,13.0,428.0,2044515.27,27,7,8,6,1,29,4.833333333333333,319.2559759525297
5,326252.0,0.0,0.0,0.0,121.0,3850.0,44475908.14,3,3,0,0,0,11,2.75,550.369481134994
NCR,2730661.0,0.0,0.0,0.0,20.0,0.0,378434130.36,38,2,0,0,0,22,3.6666666666666665,551.682202506254
6,2803452.0,53.0,173.0,7.0,48543.0,285144.0,226606349.75,119,57,22,23,1,26,4.333333333333333,316.29538558062865
6,503.0,0.0,0.0,0.0,0.0,0.0,306830.0,0,0,0,0,0,3,3.0,51138.333333333336
7,534635.0,66.0,91.0,6.0,24412.0,109147.0,65148888.0,27,0,0,0,0,12,2.4,416.8381693357988
8,1218796.0,1.0,74.0,0.0,5293.0,43178.0,49610127.92,35,2,5,7,8,11,2.2,161.17440942937714
3,1417983.0,0.0,26.0,0.0,42.0,237.0,66205636.41,21,0,2,1,0,18,3.0,175.2765570619584
2,58666.0,2.0,1.0,1.0,564.0,5132.0,11205706.89,34,2,0,3,1,26,4.333333333333333,681.2808177285992
4B,519557.0,4.0,0.0,3.0,1855.0,5888.0,47571128.160000004,45,1,5,5,1,26,4.333333333333333,400.8521437539499
3,3468.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0.75,0.0
4B,665560.0,2.0,4.0,0.0,3690.0,36518.0,65266452.53,49,5,8,6,8,24,4.0,424.66850066368227
4B,699143.0,29.0,3.0,4.0,15660.0,75300.0,477540047.94,57,8,8,9,9,26,4.333333333333333,2463.9216561324574
3,4273937.0,2.0,1.0,0.0,56.0,123.0,60340166.07,27,2,6,1,0,29,4.833333333333333,49.5097579821342
